ASIN,StarRating,Title,ReviewLink,ReviewDate,AuthorName,VerifiedPurchase,ReviewText
B07D3CMQ6Q,3,Pretty much plug and play for Windows 10,https://www.amazon.com/gp/customer-reviews/R33EOTBKV1Z18F/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D3CMQ6Q," December 23, 2018",Dan Scott,Verified Purchase,"Comes with Windows 10 preinstalled on the 32G SSD memory. No documentation of ownership or media from Microsoft is provided. I think that is pretty normal on some of these systems. My intention for this is to use it for a Linux server to test web apps. After a bit of messing with BIOS settings, Linux Mint installed easily and runs well."
B07D7SRPBN,3,I’m starting to get annoyed,https://www.amazon.com/gp/customer-reviews/R26OENNSVGI2J6/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D7SRPBN," October 13, 2018",Rammi,Verified Purchase,I bought this computer back in August but I had to return it even before I open the box.
B07D7SRPBN,2,Purchased for video editing - Good thing I wasn't hoping for the game....,https://www.amazon.com/gp/customer-reviews/R3AA1TKRH7HRT6/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D7SRPBN," October 4, 2018",TAD,Verified Purchase,edit update 10.05.2018
B07D7SRPBN,2,Item defective when received.,https://www.amazon.com/gp/customer-reviews/R3BX6H8XC7IZ2G/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D7SRPBN," July 26, 2018",Will Smith,Verified Purchase," The thing was a beast and it was built beautifully. A lot of titles hit the 144fps mark. The problem is whenever you tilted it forward, it would click. I thought it was a HDD failure, but it wasn't. The right fan was failing. For $2,000 dollars that is unacceptable considering the GTX 1070 and i7 8750H NEED proper cooling. I returned this item for a full refund. I'd buy another one but, as a college student, I can't risk having this thing failing me when I'm away from home. My case might be a rare one, but I can't take that risk."
B07D7SRPBN,4,Edited: Loud but packs a punch. Currently having issues.,https://www.amazon.com/gp/customer-reviews/R2GLWK0O1MIDCI/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D7SRPBN," October 23, 2018",Randy Ryneski,Verified Purchase, Used for gaming on the go. Great for COD BO4. However it gets pretty loud so wea ear phones and prop the laptop up to get air flow to the machine. Ran 85 degrees Celsius during gameplay (Black ops 4). The only issue is one of the fans is clicking. Possibly a loose bearing or smacking against a wire in the case. I uploaded a video with the sound.
B07CRPZZJC,5,Incredible piece of hardware.,https://www.amazon.com/gp/customer-reviews/R1BBKAS6L5AYQH/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," November 28, 2018",O. E. Andryszewski,Verified Purchase,The laptop is stunning and the hardware specifications are incredible. I've been using the laptop for around a month now and I'm very happy with all aspects.
B07CRPZZJC,5,Upgrade from HP Probook 8GB RAM/1TB Storage,https://www.amazon.com/gp/customer-reviews/R30GZB9AI918P/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," January 29, 2019",CW,Verified Purchase,"I bought this as an upgrade to run Revit more efficiently. Just set up last night, but so far it is so much better than my HP with only 8GB RAM. The 4K display is nice, it was easy to set up, and was delivered quickly. Prior to purchasing I called the seller with a few questions and they were very helpful. Will try to update more on the laptop once I’ve used it for a while. As someone else may have mentioned, the USB port by the power source is a little awkward. So far, thumbs up for a great laptop and seller."
B07CRPZZJC,5,Excellent replacement for a high end desktop!,https://www.amazon.com/gp/customer-reviews/R33P4GCE49L5XG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," October 10, 2019",CPoint,Verified Purchase,"Perfect laptop. I been holding back switching to laptop from desktop. Finally switched after seeing the capacity of this laptop (WIN 10 PRO, 2TB SSD, 32GB MEM, i7 CPU). So far it is not making me miss the desktop with similar capacity, except I had 16GB memory on the desktop. I was constantly syncing Office and Home Office PC. Now I just take the laptop with me, so I have my office PC with me always. No problem with hardware, software and or connections so far. I did get USB C hub, so I can connect to Ethernet at the office, and 32 inch 4K monitor. As well as external KB and mouse. Resolution is 4K on laptop, perfect for my needs. I did run into a problem with Acronis True Image 2019 backup, but that is not an issue with the laptop. I am waiting on Acronis tech support to resolve that today hopefully. This is a perfect laptop, thin, also tablet with pen (which I have not yet tried out), but good to have. I have replaced 2 desktops and surface pro with this one laptop. Highly recommend it."
B07CRPZZJC,4,Expensive but exactly what I needed,https://www.amazon.com/gp/customer-reviews/R3BKWLTSHKDW9U/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," April 19, 2019",Sexy Beast,Verified Purchase,This laptop is incredibly expensive but fast and responsive. I've bought it for work and to be handy when giving classroom instruction. A very sleek look and the 2 in 1 feature is pretty cool. I had to buy a USB port for the ethernet cable I need but it's not a serious concern. So far this laptop outperforms any laptops I had before it and I expect to use it for the next several years.
B07CRPZZJC,5,Update Windows 10 takes some time. Driver updates etc. Great for with Adobe Premier Pro.,https://www.amazon.com/gp/customer-reviews/RNKHJWG2TGOYO/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," August 1, 2019",Shawn Marks,Verified Purchase,"Need to update all drivers. Takes time. Had issues with graphics card compatibility with Adobe Premier Pro, but after a few hours with HP customer service all was good. Over-all I am pleased with the performance and graphics display. Slight rickety sound on the bottom panel of the laptop when grabbing it as you would a book. Initial boot up speed is wonderfully fast. I mean FAST!"
B07CRPZZJC,1,Incredibly slow doing basic tasks AND OS errors less than 1 year old!,https://www.amazon.com/gp/customer-reviews/R3HZJXZVPHI1WD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," April 17, 2020",Jason Legassie,Verified Purchase,"It'd been a long time since being a Windows user. The past few jobs had provided MacBook Pros for free, but it seemed like there was SO much more value for my dollar by buying this HP laptop with improved RAM. Unfortunately, I was wrong."
B07CRPZZJC,5,Awesome!,https://www.amazon.com/gp/customer-reviews/R1B8UZNVRCG1JZ/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," October 14, 2019",D. Paradis,Verified Purchase,"I've probably purchased thirty laptops over the past ten years for my business and for personal use. I never thought I would ever purchase an HP computer, but I took a chance after reading the reviews. So far, this laptop is fantastic. I use it for about 6-8 hours almost every day. It's very fast and seems like high-quality components."
B07CRPZZJC,5,Great computer,https://www.amazon.com/gp/customer-reviews/RSST6P8XZNDTC/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPZZJC," October 15, 2019",Angela T,Verified Purchase,Battery life could be better. Good for any thing from movies to school work.
B07D72WFHL,5,Awesome Laptop,https://www.amazon.com/gp/customer-reviews/R8A4P1JCZ19M2/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," June 19, 2019",john,Verified Purchase,Very pleased with this purchase. The laptop is sufficiently zippy although I went ahead and maxed out the RAM and added a SSD immediately which of course increased the performance of the machine.
B07D72WFHL,2,"Cheap screen, irritating trackpad",https://www.amazon.com/gp/customer-reviews/RLLS7NJXTNDJ2/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," August 29, 2018",Scott A Southworth,Verified Purchase,"The screen has a poor refresh rate (blacks will blur away into white as you scroll) -- but most significantly, if you're looking to do any artwork, the color and brightness vary by vertical viewing angle to such an extent that you can't view the entire screen without darkening bands."
B07D72WFHL,2,Life should not be so difficilt,https://www.amazon.com/gp/customer-reviews/R37ABJALY4Q2FD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," May 13, 2019",Carl,Verified Purchase,"I don't know what I'm more frustrated with: Windows 10 (I miss XP Pro) or this ridiculous touch-pad that has far too many features that get in the way of productivity and function. And unless you really want / need a number pad keyboard, don't get it. At the end of the day, this laptop does perform as advertised and is light, great battery life and does the best it can with what it has to work with. But being Windows 10, it's crippled out of the gate. A MacBook Pro with Parallels will run circles around this thing and that is a fact. But it will cost about 3 times as much so bang for the buck, this is very good computing power."
B07D72WFHL,5,"Gaming -NO, Business-YES",https://www.amazon.com/gp/customer-reviews/R3COOYRXARILUZ/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," February 6, 2020",ABM,Verified Purchase,"This is a very Good business class laptop, and for that purpose it works very well."
B07D72WFHL,2,Purchase 4-year protection!!!,https://www.amazon.com/gp/customer-reviews/R1SKC3UOCA37RW/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," March 14, 2020",Spencer,Verified Purchase,"Everything up to this point has exceeded my expectations and the laptop runs nicely. However, it’s now been 1 year and 2 weeks since I purchased it, and the motherboard completely failed and the laptop is toast... and it’s only 2 weeks past the manufacture warranty"
B07D72WFHL,5,"Great Bargain, Fast Reliable workhorse of a computer",https://www.amazon.com/gp/customer-reviews/R3G81HEN7GR653/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," May 7, 2019",Curtis,Verified Purchase,"We buy these for work at a Roofing and Solar company for the project managers. This means the Laptops get tossed around in a pickup truck, pulled out at customers tables and used to put together proposals as well as in the office network to the server. The ASUSPRO P2540UB-XB71 handles all of these needs, is fast and reliable."
B07D72WFHL,1,Don’t recommend,https://www.amazon.com/gp/customer-reviews/R225C2UXCHA0FG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," July 8, 2019",Hunter Watson,Verified Purchase,Received the product. Ran it for three days. Started it back up that night and it told me I had to reset the system. Lost everything I had put on the computer.
B07D72WFHL,2,Buy a Dell instead!!!!!,https://www.amazon.com/gp/customer-reviews/RL6J0F76TCVJZ/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D72WFHL," October 29, 2018",Allen M.,Verified Purchase,Keyboard is not spaced well. Number pad is hard to use.
B07CY2D829,5,Great Specs at a Moderate Price,https://www.amazon.com/gp/customer-reviews/R2ZVDWI97XC8DI/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CY2D829," November 7, 2018",Amazon Customer,Verified Purchase,"This is a bargain laptop. The core I7 8550U Kaby-Lake processor is the same one you'll find in most high-end laptops these days, and better that the Y processors in the new macbook air. It has a generous number of connections; full size HDMI, USB 3, Usb2.1 and USB-C (3.1 specs), along with a Micro-SD slot and a 3.5mm headphone /microphone jack. The screen is a non-touch 1080P and a backlit keyboard and fingerprint reader. All in a 2.6 lb (by my scale) aluminum package. I have read some criticism of the keyboard, but personally I find it as good as any laptop keyboard and have no complaints. But, I do not write novels or technical manuals for a living so my typing is pretty basic and your mileage may vary. The down-firing Harmon Kardon branded speakers are OK. But in my opinion, people who insist on blasting there speakers for sound either live alone or don't mind annoying people around them. I have always preferred headphones."
B07CY2D829,1,Go in stores where you can see and feel your product,https://www.amazon.com/gp/customer-reviews/R38IIMGOE9BVEX/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CY2D829," September 18, 2018",blessings,Verified Purchase, What a waste of money . Screen started flickering after 2 weeks. What makes it even worst my daughter bought it and took it to England where she lives. Now they are saying to me we have to pay shipping cost back to the U.S.
B07CY2D829,5,"Slim, silent, low-heat, great battery & portability",https://www.amazon.com/gp/customer-reviews/R3ENFVPE87VBYQ/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CY2D829," November 9, 2018",Lloyd W,Verified Purchase,"My priorities in searching for a laptop were as follows: good brand, low emission (meaning low heat and low noise), MATTE display (because the common glossy displays reflect way too much light), HD monitor, >8GB RAM and a Solid State Drive. I spent a lot of time reviewing newegg, bestbuy and amazon for top sellers, along with pcreviews and notebookcheck dot net (which does incredible detailed reviews showing how much heat and noise a laptop generates). I settled on this notebook and am very happy with what I got. The 2018 version is definitely worth the extra $50 over the 2017 version because the bezel (plastic border around the screen) is much smaller resulting in a laptop that is 10% smaller than the 2017 version while maintaining a 13"" screen! The faint high pitched noise put out by the motherboard is only detectable in a silent room when you place your head within 12"" of the keyboard. The battery life is stellar. Under load, the system hardly generates any heat and under light use (browsing/Word), I never hear the fan kick in. This 8th generation i5 is much more powerful than older i7 CPU's. It's incredibly thin. I was worried about the laptop looking 'gold' but it doesn't - it looks very silver with a faint hue. Very fast start-ups - I press the power button from hibernation and by the time I moved my finger to the fingerprint, I'm up and running within 2 seconds. Fully recommend."
B07CY2D829,4,Love My ZenBook (but),https://www.amazon.com/gp/customer-reviews/R1MHCPOG141T2J/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CY2D829," November 15, 2018",Wynne T.,Verified Purchase,Pros
B07CY2D829,5,Fntastic qulaity and performance for it's price,https://www.amazon.com/gp/customer-reviews/R2CQYT09P66I5V/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CY2D829," December 8, 2018",Darrell Fields,Verified Purchase,Keeping this simple
B07CY2D829,3,Touchpad is VERY GLITCHY; Screen is glitchy; all else is great.,https://www.amazon.com/gp/customer-reviews/R154I7QYK5WVDK/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CY2D829," December 27, 2018",Shay,Verified Purchase,"In my recent quest to find a good laptop for my work, I have tried about 8 different ones (I have tried 5 different Asus laptops - Vivobooks and Zenbooks) ad found every Asus laptop to be glitchy."
B07D958W7C,4,muy bien,https://www.amazon.com/gp/customer-reviews/R2F8BC8DU30PP2/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D958W7C," October 18, 2018",Menahem Kroll,Verified Purchase,megusto y esta trabajando bien por el momento
B07D958W7C,5,Five stars but with an important Caveat.,https://www.amazon.com/gp/customer-reviews/R1GKN4N15VUYEI/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D958W7C," January 13, 2019",Jonathan R.,,"The HP specter x360 is an excellent laptop. Is is sleek, thin, extremely aesthetically pleasing, and a joy to use. The 4k screen is bright, vivid, and amazing, unlike other laptops that I have had to send back because they were either too dim or has visual defects when scrolling in terms of color and sharpness. And the built in speakers/sound system is probably the best I have personally heard on a laptop."
B07D9625PJ,5,It is in fact awesome.,https://www.amazon.com/gp/customer-reviews/R1Y6AO5FZ9S56G/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," August 13, 2018",Renegade5399,Verified Purchase,"All the BS and hype in the write up, on the HP site, and in the ads for this thing are true. I game better with this thing. I play multiplayer FPS daily. OW, CSS, CSGO, PUBG, Realm Royale, you name it. My aim is more concise and I sure as hell win more sniper peek battles. My shot just goes off first. 200% satisfied with this purchase."
B07D9625PJ,5,Excellent gaming mouse,https://www.amazon.com/gp/customer-reviews/R2QDXWKCDI32Y1/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," November 27, 2018",Amazon Customer,Verified Purchase,"I picked this gaming mouse up on a whim as back when I got it it had just released and had no reviews. First off the build quality on it is excellent, definitely a huge step up from the stuff HP normally makes. Second it integrates great with the Omen Command Center app I already have installed on my Omen gaming laptop (yay less bloatware). The DPI settings via color code are easy to get used to. I now just know which color is where I like to be 90% of the time and if I have a setting I like for a particular game I just know what color to jump to. The adjustable palm wrest is probably my favorite feature, it really lets you dial in the mouse so it fits just perfectly for how you hold."
B07D9625PJ,5,Awesome Mouse!,https://www.amazon.com/gp/customer-reviews/RU1YOGVD8NONO/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," September 21, 2018",Jay,Verified Purchase,"I have several gaming mouse and this one is the best by far! I have Logitech, GSkill and Corsair but this one is the best. Fast response and the mouse click is very pleasant! I don't have the biggest hand and I struggle finding the right mouse for it and this does it well! Definitely my mouse of choice. Highly recommended! The wired is very nice looking too!"
B07D9625PJ,5,Good shape,https://www.amazon.com/gp/customer-reviews/R12AE1ZR1MM5R/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," August 18, 2018",Amazon Customer,Verified Purchase,"I like this more than my Logitech mouses. My aim just feels more smooth, I think it's because the shape fits my hand comfortably. The only bad thing I can say is that you need a mouse bungee other wise you're going to feel\ hear the cable moving around."
B07D9625PJ,1,Mouse Click and Minimize Windows,https://www.amazon.com/gp/customer-reviews/R2XKWY70A8AXTF/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," April 18, 2019",Amazon Customer,Verified Purchase,"I purchased this mouse a few weeks ago, and the out of the box experience was very pleasant. The Omen mouse provided a total response without any ""lag"". Fast forward to earlier this week, and I was faced with the left mouse button not responding. I at first thought the issue was my system; However, when I changed the mouse to a super cheap one, I had no issues. I am NOT slamming any products from HP with this review. I further will not return the product to Amazon as I would really like to figure out the root cause of the issue. I just would like other gaming people to understand there may be issues with the ""out of the box"" performance of this mouse. HP may have an update for this mouse which I was unable to locate and install to correct the concern. Honestly, after several HOURS thinking the minimization of a game playing issue was because of my system...and then only to find out this was do to incorrect mouse input is really sad."
B07D9625PJ,5,Great mouse for the most part.,https://www.amazon.com/gp/customer-reviews/RBQTQIY6WPSB7/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," September 11, 2020",Keenan M.,Verified Purchase,"Just got it today and been using it for a few hours and all around it is a good mouse. Two downsides in particular that may only apply to me, and one is just a very minor nitpick. First, for me at least, one of my more natural resting positions makes it so the mouse wheel is a good finger joint too short so I have to reach up to scroll, but I am sure I will adjust to it overtime. Second thing is found out I need Windows 10 to get the Omen Command Center to program the mouse. Currently I have Windows 8, but I plan on making a new computer entirely within the next few months, which will have Windows 10, so it is just a small gripe but maybe something to consider if you aren't yet modernized as I am. Other than those two things though it is a very good mouse, very accurate so that is lovely. I was able to use it perfectly straight out of the box. Another bonus is the cable is sturdy and durable looking as well. I would recommend."
B07D9625PJ,2,Overrated,https://www.amazon.com/gp/customer-reviews/R3PNPTCCTYK2VV/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," December 30, 2018",Chance,Verified Purchase,Overpowered and the sensitivity is though the roof.
B07D9625PJ,4,"Great mouse, but damages easily if not careful",https://www.amazon.com/gp/customer-reviews/RFWHRR9F3HWQ5/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D9625PJ," December 24, 2019",Jonathan Clingen,Verified Purchase,"I received this product a while ago and it was broken, in the sense that it could not right click. I sent it back and the new one worked but malfunctioned. I ordered a brand new one and it works fantastically now, just be aware that mechanical problems may be evident in your buying of this product."
B07CRN443N,1,Failed After 2 Months,https://www.amazon.com/gp/customer-reviews/R25MFXWYZMQEB1/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRN443N," August 4, 2020",Jack,Verified Purchase,"I received this computer in late May 2020, had a hard drive failure in mid-July 2020 at which time I contacted Amazon. Amazon indicated I needed to contact HP for assistance with the issue. HP indicated that it was a hard drive failure and sent me a box to send the unit in for repair."
B07CRN443N,4,Fast machine,https://www.amazon.com/gp/customer-reviews/RAZSSQB74E2KT/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRN443N," January 10, 2020",Dewayne,Verified Purchase,Beautiful video quality
B07CRN443N,5,Replaced my 2012 power pc,https://www.amazon.com/gp/customer-reviews/R3GVXN6YYZFMD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRN443N," March 1, 2020",Amazon Customer,Verified Purchase,Beautiful Laptop. Very quick
B07CRPWD2Y,5,Incredible piece of hardware.,https://www.amazon.com/gp/customer-reviews/R1BBKAS6L5AYQH/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPWD2Y," November 28, 2018",O. E. Andryszewski,Verified Purchase,The laptop is stunning and the hardware specifications are incredible. I've been using the laptop for around a month now and I'm very happy with all aspects.
B07CRPWD2Y,5,Upgrade from HP Probook 8GB RAM/1TB Storage,https://www.amazon.com/gp/customer-reviews/R30GZB9AI918P/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPWD2Y," January 29, 2019",CW,Verified Purchase,"I bought this as an upgrade to run Revit more efficiently. Just set up last night, but so far it is so much better than my HP with only 8GB RAM. The 4K display is nice, it was easy to set up, and was delivered quickly. Prior to purchasing I called the seller with a few questions and they were very helpful. Will try to update more on the laptop once I’ve used it for a while. As someone else may have mentioned, the USB port by the power source is a little awkward. So far, thumbs up for a great laptop and seller."
B07CRPWD2Y,5,Excellent replacement for a high end desktop!,https://www.amazon.com/gp/customer-reviews/R33P4GCE49L5XG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPWD2Y," October 10, 2019",CPoint,Verified Purchase,"Perfect laptop. I been holding back switching to laptop from desktop. Finally switched after seeing the capacity of this laptop (WIN 10 PRO, 2TB SSD, 32GB MEM, i7 CPU). So far it is not making me miss the desktop with similar capacity, except I had 16GB memory on the desktop. I was constantly syncing Office and Home Office PC. Now I just take the laptop with me, so I have my office PC with me always. No problem with hardware, software and or connections so far. I did get USB C hub, so I can connect to Ethernet at the office, and 32 inch 4K monitor. As well as external KB and mouse. Resolution is 4K on laptop, perfect for my needs. I did run into a problem with Acronis True Image 2019 backup, but that is not an issue with the laptop. I am waiting on Acronis tech support to resolve that today hopefully. This is a perfect laptop, thin, also tablet with pen (which I have not yet tried out), but good to have. I have replaced 2 desktops and surface pro with this one laptop. Highly recommend it."
B07CRPWD2Y,4,Expensive but exactly what I needed,https://www.amazon.com/gp/customer-reviews/R3BKWLTSHKDW9U/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPWD2Y," April 19, 2019",Sexy Beast,Verified Purchase,This laptop is incredibly expensive but fast and responsive. I've bought it for work and to be handy when giving classroom instruction. A very sleek look and the 2 in 1 feature is pretty cool. I had to buy a USB port for the ethernet cable I need but it's not a serious concern. So far this laptop outperforms any laptops I had before it and I expect to use it for the next several years.
B07CRPWD2Y,5,Update Windows 10 takes some time. Driver updates etc. Great for with Adobe Premier Pro.,https://www.amazon.com/gp/customer-reviews/RNKHJWG2TGOYO/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPWD2Y," August 1, 2019",Shawn Marks,Verified Purchase,"Need to update all drivers. Takes time. Had issues with graphics card compatibility with Adobe Premier Pro, but after a few hours with HP customer service all was good. Over-all I am pleased with the performance and graphics display. Slight rickety sound on the bottom panel of the laptop when grabbing it as you would a book. Initial boot up speed is wonderfully fast. I mean FAST!"
B07CRPWD2Y,1,Incredibly slow doing basic tasks AND OS errors less than 1 year old!,https://www.amazon.com/gp/customer-reviews/R3HZJXZVPHI1WD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPWD2Y," April 17, 2020",Jason Legassie,Verified Purchase,"It'd been a long time since being a Windows user. The past few jobs had provided MacBook Pros for free, but it seemed like there was SO much more value for my dollar by buying this HP laptop with improved RAM. Unfortunately, I was wrong."
B07CRPWD2Y,5,Awesome!,https://www.amazon.com/gp/customer-reviews/R1B8UZNVRCG1JZ/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07CRPWD2Y," October 14, 2019",D. Paradis,Verified Purchase,"I've probably purchased thirty laptops over the past ten years for my business and for personal use. I never thought I would ever purchase an HP computer, but I took a chance after reading the reviews. So far, this laptop is fantastic. I use it for about 6-8 hours almost every day. It's very fast and seems like high-quality components."
